title,article_id,ai4epi_fulltext_decision
Transmission Dynamics and Control of Severe Acute Respiratory Syndrome,PMID_12766207,INCLUDE
Different Epidemic Curves for Severe Acute Respiratory Syndrome Reveal Similar Impacts of Control Measures,PMID_15353409,INCLUDE
SARS and MERS: recent insights into emerging coronaviruses,PMID_27344959,EXCLUDE
Fear and Stigma: The Epidemic within the SARS Outbreak,PMID_15030713,EXCLUDE
Network theory and SARS: predicting outbreak diversity,PMID_15498594,INCLUDE
"Epidemiology, transmission dynamics and control of SARS: the 2002–2003 epidemic",PMID_15306395,INCLUDE
Origin and evolution of pathogenic coronaviruses,PMID_30531947,EXCLUDE
Infection fatality rate of SARS-CoV2 in a super-spreading event in Germany,PMID_33203887,EXCLUDE
Factors that make an infectious disease outbreak controllable,PMID_15071187,INCLUDE
Cross-host evolution of severe acute respiratory syndrome coronavirus in palm civet and human,PMID_15695582,INCLUDE
"The Psychological Impact of the SARS Epidemic on Hospital Employees in China: Exposure, Risk Perception, and Altruistic Acceptance of Risk",PMID_19497162,EXCLUDE
Super-spreaders in infectious diseases,PMID_21737332,EXCLUDE
Model Parameters and Outbreak Control for SARS,PMID_15324546,INCLUDE
Modelling strategies for controlling SARS outbreaks,PMID_15539347,INCLUDE
Effectiveness of precautions against droplets and contact in prevention of nosocomial transmission of severe acute respiratory syndrome (SARS),PMID_12737864,INCLUDE
Super-spreaders and the rate of transmission of the SARS virus,PMID_32287555,INCLUDE
Do Men Have a Higher Case Fatality Rate of Severe Acute Respiratory Syndrome than Women Do?,PMID_14742282,INCLUDE
"Pattern of early human-to-human transmission of Wuhan 2019 novel coronavirus (2019-nCoV), December 2019 to January 2020",PMID_32019669,EXCLUDE
"Responding to global infectious disease outbreaks: Lessons from SARS on the role of risk perception, communication and management",PMID_16978751,EXCLUDE
"Epidemiology, Genetic Recombination, and Pathogenesis of Coronaviruses",PMID_27012512,EXCLUDE
Long-term Psychological and Occupational Effects of Providing Hospital Healthcare during SARS Outbreak,PMID_17326946,EXCLUDE
Epidemic Models of Contact Tracing: Systematic Review of Transmission Studies of Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome,PMID_30809323,EXCLUDE
The impact of community psychological responses on outbreak control for severe acute respiratory syndrome in Hong Kong,PMID_14600110,INCLUDE
Forecast and control of epidemics in a globalized world,PMID_15477600,INCLUDE
Predicting Super Spreading Events during the 2003 Severe Acute Respiratory Syndrome Epidemics in Hong Kong and Singapore,PMID_15466494,INCLUDE
Detection of Airborne Severe Acute Respiratory Syndrome (SARS) Coronavirus and Environmental Contamination in SARS Outbreak Units,PMID_15809906,INCLUDE
"From SARS to MERS, Thrusting Coronaviruses into the Spotlight",PMID_30646565,EXCLUDE
The impact of the SARS outbreak on Taiwanese hotel stock performance: An event-study approach,PMID_32287849,EXCLUDE
A discrete epidemic model for SARS transmission and control in China,PMID_32288200,INCLUDE
"SARS Control and Psychological Effects of Quarantine, Toronto, Canada",PMID_15324539,EXCLUDE
Clustering model for transmission of the SARS virus: application to epidemic control and risk assessment,PMID_32288075,INCLUDE
Cytokine Responses in Severe Acute Respiratory Syndrome Coronavirus-Infected Macrophages In Vitro: Possible Relevance to Pathogenesis,PMID_15919935,EXCLUDE
Coronaviruses: An Overview of Their Replication and Pathogenesis,PMID_25720466,EXCLUDE
Diminished virulence of a sar-/agr- mutant of Staphylococcus aureus in the rabbit model of endocarditis.,PMID_7962526,EXCLUDE
"SARS Transmission, Risk Factors, and Prevention in Hong Kong",PMID_15200846,INCLUDE
"Superspreading SARS Events, Beijing, 2003",PMID_15030693,INCLUDE
Factors involved in the aerosol transmission of infection and control of ventilation in healthcare premises,PMID_16916564,EXCLUDE
Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak,PMID_32024089,EXCLUDE
